不属于我们的世纪,"
        
  
  [美] 马修·托马斯 / 黄瑶 / 广西科学技术出版社 / 2016-9-1 / 46.00元

      ",8.3
博尔赫斯小说集,"
        
  
  [阿根廷] 博尔赫斯 / 王永年、陈泉 / 浙江文艺出版社 / 2005-12 / 26.00元

      ",9.2
玫瑰的名字,"
        
  
  [意] 翁贝托·埃科 / 沈萼梅、刘锡荣 / 上海译文出版社 / 2010-03 / 33.00元

      ",8.6
情人,"
        
  
  [法] 玛格丽特·杜拉斯 / 王道乾 / 上海译文出版社 / 2005-7 / 20.00元

      ",8.1
源泉,"
        
  
  [美] 安·兰德 / 高晓晴、赵雅蔷、杨玉 / 重庆出版社 / 2005-11 / 49.80元

      ",9.0
金色梦乡,"
        
  
  [日] 伊坂幸太郎 / 李彦桦 / 译林出版社 / 2010-9 / 35.00元

      ",9.0
幽灵,"
        
  
  [挪] 尤·奈斯博 / 林立仁 / 博集天卷 | 湖南文艺出版社 / 2017-6-10 / 42.00元

      ",8.5
2666,"
        
  
  [智利] 罗贝托·波拉尼奥 / 赵德明 / 上海人民出版社 / 2012-1-1 / 98.00元

      ",8.7
一句顶一万句,"
        
  
  刘震云 / 长江文艺出版社 / 2009-3 / 29.80

      ",8.7
挪威的森林,"
        
  
  [日] 村上春树 / 林少华 / 上海译文出版社 / 2001-2 / 18.80元

      ",8.0
一个人的朝圣,"
        
  
  【英】蕾秋·乔伊斯 / 黄妙瑜 / 北京联合出版公司 / 2013-9-1 / 32.80

      ",8.1
被占的宅子:科塔萨尔短篇小说全集1,"
        
  
  [阿根廷] 胡利奥·科塔萨尔 / 陶玉平、李静、莫娅妮 / 南海出版公司 / 2017-3-1 / 49.5

      ",8.4
心是孤独的猎手,"
        
  
  [美] 卡森·麦卡勒斯 / 陈笑黎 / 上海三联书店 / 2005-8 / 25.00元

      ",8.5
强风吹拂,"
        
  
  (日)三浦紫苑 / 林佩瑾、李建铨、杨正敏 / 广西师范大学出版社 / 2015-1-1 / 39.00元

      ",9.0
边城,"
        
  
  沈从文、黄永玉 卓雅 插图. / 北岳文艺出版社 / 2002-4 / 12.00元

      ",8.6
永恒的边缘:世纪三部曲3,"
        
  
  [英] 肯·福莱特 / 陈杰 / 江苏凤凰文艺出版社 / 2017-5 / 168.00（全三册）

      ",7.8
1Q84BOOK1:4月～6月,"
        
  
  [日] 村上春树 / 施小炜 / 南海出版公司 / 2010-5 / 36.00元

      ",8.3
海风中失落的血色馈赠,"
        
  
  [加拿大] 阿利斯泰尔·麦克劳德 / 陈以侃 / 上海文艺出版社 / 2015-6 / 20.00元

      ",9.0
佛罗伦萨的神女,"
        
  
  [英] 萨曼·鲁西迪 / 刘凯芳 / 北京燕山出版社 / 2017-1 / 45.00元

      ",8.4
没有你，什么都不甜蜜:冰岛三部曲·1,"
        
  
  [冰岛] 约恩·卡尔曼·斯特凡松 / 李静滢 / 九州出版社 / 2017-5 / 45.00元

      ",7.8
我遇见了人类,"
        
  
  [英] 马特·海格 / 李亚萍 / 北京联合出版公司 / 2017-5 / 42.00元

      ",7.9
时光倒流的女孩,"
        
  
  [美] 加·泽文 / 路旦俊、胡泽刚 / 江苏凤凰文艺出版社 / 2017-5-20 / 38.00

      ",7.9
查特莱夫人的情人,"
        
  
  [英] 劳伦斯 / 赵苏苏 / 人民文学出版社 / 2004-01 / 24.00元

      ",7.6
清明上河图密码:隐藏在千古名画中的阴谋与杀局,"
        
  
  冶文彪 / 北京联合出版公司 / 2015-1-1 / 49.90元

      ",8.2
许三观卖血记,"
        
  
  余华 / 南海出版公司 / 1998-9 / 16.80元

      ",8.7
过于喧嚣的孤独,"
        
  
  (捷克) 赫拉巴尔 / 杨乐云 / 北京十月文艺出版社 / 2011-10 / 22.00元

      ",8.8
失明症漫记,"
        
  
  (葡)若泽·萨拉马戈 / 范维信 / 南海出版公司 / 2014-2 / 29.50

      ",9.0
当我们谈论爱情时我们在谈论什么,"
        
  
  [美] 雷蒙德·卡佛 / 小二 / 译林出版社 / 2010-1 / 22.00元

      ",7.8
陆犯焉识,"
        
  
  严歌苓 / 作家出版社 / 2011-10 / 35.00元

      ",8.8
S.:忒修斯之船,"
        
  
  [美] J.J.艾布拉姆斯、[美] 道格·道斯特 / 颜湘如 / 中信出版集团 / 2016-6-6 / 168.00 元

      ",7.8
一桩事先张扬的凶杀案,"
        
  
  [哥伦比亚] 加西亚·马尔克斯 / 魏然 / 南海出版公司 / 2013-6 / 25.00元

      ",8.7
喜宝,"
        
  
  亦舒 / 新世界出版社 / 2007-2 / 22.00元

      ",8.0
生活与命运,"
        
  
  [俄罗斯] 瓦·格罗斯曼 / 力冈 / 广西师范大学出版社 / 2015-8-20 / 118.00元

      ",9.3
十一种孤独,"
        
  
  （美）理查德·耶茨、Richard Yates / 陈新宇 / 上海译文出版社 / 2010-1 / 20.00元

      ",8.2
永恒的终结:关于时间旅行的终极奥秘和恢宏构想,"
        
  
  [美] 艾萨克·阿西莫夫 / 崔正男 / 江苏文艺出版社 / 2014-9-1 / 32.00元

      ",9.0
北方大道,"
        
  
  李静睿 / 理想国 | 广西师范大学出版社 / 2017-6 / 38

      ",7.7
