编号,标题,链接,得分,作者
编号,标题,链接,得分,作者
67,“抖音”给“快手”打电话！  神奇室友第三期！,//www.bilibili.com/video/av39085912/,432978,君寻玩剪辑
68,游戏史上最沙雕的游戏，智商10000都不一定通关！,//www.bilibili.com/video/av40879273/,431733,靖菌命
69,《白蛇.缘起》官方宣发请给力点，高口碑低票房不是你的出路,//www.bilibili.com/video/av40756232/,431698,漫妮国漫
70,【仙剑奇侠传三】此生不换‖十周年纪念,//www.bilibili.com/video/av39587934/,429326,喜欢脚鸡还是小茜
71,她是蜘蛛侠的挚爱，她的离去改变了英雄的一生,//www.bilibili.com/video/av40888202/,428432,努力的Lorre
72,电影最TOP 119: 2018年度十大引进佳片盘点,//www.bilibili.com/video/av40876282/,425432,电影最TOP
73,所有获取经验的方式 让你的等级全速提升,//www.bilibili.com/video/av40769686/,423850,休比・多拉
74,最强走A：鬼畜摇头，极限抖动！建议0.5倍速观赏走A盛宴,//www.bilibili.com/video/av40809973/,421733,六神超
75,UP被骂滚出B站...,//www.bilibili.com/video/av40765114/,419994,小苏Q君
76,六首火遍全球的口哨神曲！！最后一首是真正的王者,//www.bilibili.com/video/av40684593/,419377,俊孩玄晔
77,主播炸了超神篇194：至强男刀秀翻Rookie 神超不当人3连警告,//www.bilibili.com/video/av40808700/,416249,聚印象视频
78,国防部想把我笑死！！！,//www.bilibili.com/video/av39381375/,414631,广东共青团
79,老婆说陪孩子去图书馆，男子却通过定位找到昔日好友家里，啥情况？(°ー°〃),//www.bilibili.com/video/av40357862/,414244,叫我矮冬瓜
80,听力测试：看看你能听到多少赫兹的声音,//www.bilibili.com/video/av40724545/,409990,小K趣事
81,听了朱广权的《生僻字》，真的觉得其他的人都是辣鸡！,//www.bilibili.com/video/av40786581/,408755,深深晨
82,我在b站养“猪”，一只千万人看着长大的奶猫，见证岁月是把猪饲料,//www.bilibili.com/video/av40794307/,407354,-招牌猫-
83,最作死的行为，外国小哥待在果冻凝胶里，把自己变成人肉果冻,//www.bilibili.com/video/av40744851/,403748,SoFun搜趣坊
84,印度国产“高铁”真稳定，轻易立起矿泉水，三哥举起大拇指。。。,//www.bilibili.com/video/av40802315/,403125,救世主莫笛
